"","GEOID","NAME","Mid_Income","Mid_nonfamily_income","Time_toWork","Walk_Time_toWork","Time_trans","Time_Taxicab","Time_Motorcycle","Time_Bicycle","Time_Walked","Time_Other means","Num_Child"
"128","48345","Motley County, Texas",10956,44,91,15,14,14,14,14,15,14,73
"129","48349","Navarro County, Texas",3390,443,744,127,83,30,28,36,127,65,565
"130","48351","Newton County, Texas",8364,237,374,23,42,22,22,22,23,42,85
"131","48355","Nueces County, Texas",1681,1447,2112,539,415,72,168,164,539,359,1497
"132","48357","Ochiltree County, Texas",6420,199,306,77,40,20,20,20,77,40,201
"133","48361","Orange County, Texas",3924,670,1027,145,161,33,48,18,145,150,596
"134","48363","Palo Pinto County, Texas",2625,376,575,77,95,26,29,60,77,90,266
"135","48367","Parker County, Texas",2760,782,1196,284,226,33,90,33,284,207,702
"136","48369","Parmer County, Texas",8744,147,255,29,107,20,5,20,29,107,160
"137","48373","Polk County, Texas",2402,455,904,138,219,33,70,15,138,197,349
"138","48375","Potter County, Texas",1525,770,995,233,141,55,53,41,233,119,1013
"139","48379","Rains County, Texas",4311,231,286,62,128,22,22,22,62,128,197
"140","48381","Randall County, Texas",3129,831,1121,236,347,15,53,112,236,327,657
"141","48385","Real County, Texas",6036,116,220,28,47,14,14,18,28,43,149
"142","48387","Red River County, Texas",2291,247,275,89,65,22,3,22,89,65,162
"143","48391","Refugio County, Texas",3948,132,192,62,7,20,3,20,62,7,150
"144","48393","Roberts County, Texas",7674,38,73,23,14,14,14,14,23,14,51
"145","48397","Rockwall County, Texas",2856,579,1132,134,206,41,94,33,134,164,381
"146","48399","Runnels County, Texas",2745,195,178,50,25,22,21,22,50,9,135
"147","48403","Sabine County, Texas",4486,239,270,56,38,22,22,22,56,38,127
"148","48405","San Augustine County, Texas",5013,219,206,104,56,20,8,33,104,45,115
"149","48409","San Patricio County, Texas",3589,523,889,126,86,33,6,12,126,87,640
"150","48411","San Saba County, Texas",9449,131,233,27,6,20,20,3,27,6,84
"151","48415","Scurry County, Texas",6419,366,416,41,140,11,22,141,41,59,308
"152","48417","Shackelford County, Texas",6010,116,144,22,38,14,14,14,22,38,40
"153","48421","Sherman County, Texas",6433,67,128,38,10,14,14,14,38,10,168
"154","48423","Smith County, Texas",2471,1083,1716,251,501,254,70,188,251,377,955
"155","48285","Lavaca County, Texas",2568,266,356,58,40,26,26,26,58,40,211
"156","48425","Somervell County, Texas",13550,215,409,38,165,20,20,13,38,168,194
"157","48427","Starr County, Texas",2851,461,1012,295,100,33,33,33,295,100,583
"158","48429","Stephens County, Texas",3174,250,317,50,100,20,20,20,50,100,145
"159","48431","Sterling County, Texas",8296,36,90,14,33,14,14,14,14,33,105
"160","48433","Stonewall County, Texas",16881,52,123,15,23,14,14,14,15,23,93
"161","48435","Sutton County, Texas",15158,97,180,109,8,14,14,14,109,8,148
"162","48437","Swisher County, Texas",4873,192,216,93,33,20,20,20,93,33,159
"163","48439","Tarrant County, Texas",677,3319,6219,997,1071,383,230,386,997,853,3888
"164","48441","Taylor County, Texas",2086,772,1125,384,203,71,66,135,384,135,706
"165","48443","Terrell County, Texas",7834,79,129,14,14,14,14,14,14,14,50
"166","48445","Terry County, Texas",3841,249,339,68,3,22,22,22,68,3,227
"167","48447","Throckmorton County, Texas",10953,68,100,13,13,14,2,14,13,13,74
"168","48449","Titus County, Texas",3315,338,463,39,187,30,30,30,39,187,433
"169","48451","Tom Green County, Texas",3457,826,1265,419,442,33,59,117,419,453,619
"170","48453","Travis County, Texas",972,3384,4235,1372,1150,339,340,706,1372,818,2852
"171","48455","Trinity County, Texas",3526,214,338,75,55,22,22,22,75,55,176
"172","48457","Tyler County, Texas",5481,334,466,97,56,26,26,26,97,56,250
"173","48459","Upshur County, Texas",3580,423,668,181,118,30,35,30,181,111,265
"174","48461","Upton County, Texas",4807,95,108,15,14,14,14,14,15,14,125
"175","48463","Uvalde County, Texas",5135,481,606,97,134,26,19,70,97,107,518
"176","48467","Van Zandt County, Texas",3567,500,760,148,100,33,3,45,148,89,453
"177","48469","Victoria County, Texas",2721,663,1168,239,142,29,8,81,239,120,603
"178","48473","Waller County, Texas",3091,570,894,228,89,33,16,12,228,87,370
